"answer_text","category1_text","detailreal_text","qestion_text","_id"
"「領収証」＞「合算領収書」を選択し、レシートのバーコードをスキャンしてください。
その後、領収書の発行ができます。
不明な点は、統合サービスデスク(0120-111-222)へご連絡ください。","精算処理","🧾レジで合算領収証を発行

■合算領収証の発行マニュアルはURLを参照してください。

👆【発行手順】
※2週間以内のレシートのみ発行が可能です。
※最大で50枚まで読み取りできます。

1. レジ画面下の【領収証】ボタンをタッチします
2. 領収証画面から【合算領収証】ボタンをタッチします
3. 対象のレシートのバーコードを全てスキャンします
4. 全てのバーコードのスキャンが完了したら【確定】をタッチします※バーコードが読み取れない場合は【バーコードが読み取れない場合】をタッチして手入力してください
5. 領収証の発行が完了します
6. 【確認】をタッチすると商品登録画面に戻ります

レジに関して不明な点がございましたら、下記の電話番号にご連絡頂きますようお願いいたします。

統合サービスデスク（統合SD)の連絡先については以下になります。
TEL： 0120-111-222（365日 9時～18時）","レジで合算領収証を発行","1622721799959x661676353253568800"
"「領収書」ボタン＞「金額指定領収書」ボタンを選び、発行してください。","精算処理","📝レジで金額指定領収証を発行

■金額指定領収証の発行マニュアルはURLを参照してください。

👆【発行手順】
※100万円まで発行ができます。
1. レジ画面下の【領収証】ボタンをタッチします
2. 領収証画面から【金額指定領収証】ボタンをタッチします
3. 各入力項目を入力します
4. 合計金額・消費税・ポイント支払金額・クレジット支払金額入力後に【登録】をタッチします
5. 領収証の発行が終了します
6. 【確認】をタッチすると商品登録画面に戻ります

レジに関して不明な点がございましたら、下記の電話番号にご連絡ください。
統合サービスデスク（統合SD)の連絡先については以下になります。
TEL： 0120-111-222（365日 9時～18時）","レジで金額指定領収証を発行","1622721799960x243524217222401020"
"レジの「売掛」の支払いの操作方法は、操作マニュアルURLをご参照ください。","精算処理","🧾レジで支払方法が「売掛」の場合の操作方法

レジの「売掛」の支払いの操作方法は、操作マニュアルURLをご参照ください。

🔎【操作マニュアル】
1. 【その他支払】をタッチします（売掛の場合【セルフ】をタッチしてください）
2. 権限が付与されていない担当者の場合上位者の承認を要求する画面が表示されますので上位者が社員番号と暗証番号を入力してください
3. 売掛の場合は口座番号を入力し【登録】をタッチします※その他売掛の場合は種別コードの入力と口座番号の入力を実施してください
4. 登録内容を確認して【確定】をタッチしてください
5. 売掛の場合【売掛】をタッチしてください※その他売掛の場合【その他売掛】をタッチしてください
6. 権限が付与されていない担当者の場合は上位者の承認を要求する画面が表示されますので上位者が社員番号と暗証番号を入力してください
7. 売掛の場合は口座番号を入力し【登録】をタッチします※その他売掛の場合は種別コードの入力と口座番号の入力を実施してください
8. 登録内容を確認して【確定】をタッチしてください","レジで、支払方法が「売掛」の操作方法","1622721799960x350296531050876540"
"「入出金・売掛入金」＞「売掛入金」を操作後、上位者の方が社員番号と暗証番号をご入力の上、ご確認ください。","精算処理","🧾レジの「売掛入金」の操作方法の確認

レジの「売掛入金」の操作方法は、操作マニュアルURLをご参照ください。

🔎【操作マニュアル】
1. 【その他支払】をタッチします（売掛の場合【セルフ】をタッチしてください）
2. 権限が付与されていない担当者の場合は上位者の承認を要求する画面が表示されますので上位者が社員番号・暗証番号を入力してください
3. 売掛の場合は口座番号を入力し【登録】をタッチします※その他売掛の場合は種別コードの入力と口座番号の入力を実施してください
4. 登録内容を確認して【確定】をタッチしてください
5. 売掛の場合【売掛】をタッチしてください※その他売掛の場合【その他売掛】をタッチしてください
6. 権限が付与されていない担当者の場合上位者の承認を要求する画面が表示されますので 上位者が社員番号と暗証番号を入力してください
7. 売掛の場合は口座番号を入力し【登録】をタッチします※その他売掛の場合は種別コードの入力と口座番号の入力を実施してください
8. 登録内容を確認して【確定】をタッチしてください","レジの「売掛入金」の操作方法の確認","1622721799960x373096234717160450"
"MDBOのバンドルスケジュールプルーフリストでご確認ができます。URLから手順書をご参照ください。","発注・伝票処理","🔎バンドルの登録状況を確認

MDBOのバンドルスケジュールプルーフリストで確認ができます。

👆【MOBO手順書】
以下の手順書をご参照ください。

■手順書はURLをご確認ください

🖥【AR/MDBOが使用できない場合】
1. パソコンを再起動してください
2. 再起動後EIR/MDVOが起動するか確認してください
3. 復旧しない場合EIR/MDVOを再インストールしてください

❓【手順書を確認してもわからない場合】
サポートセンターへ連絡してください。

💡【統合サービスデスクの詳細】
パオンアイビス㈱ 統合サービスデスク
電話番号： 0120-111-222
メールアドレス：mailto:ML_pec-madoguchi@aeonpeople.biz
受付時間：9:00～18:00","バンドルの登録状況を確認","1622721799960x507314187116260100"
"EIR/MDVOのアイコンをクリックしても起動しない場合は、PCの再起動を行ってください。","発注・伝票処理","❌EIR/MDVOのアイコンをクリックしても起動しない

EIR/MDVOのアイコンをクリックしても起動しない場合、
以下の手順で復旧するかお試しください。

👆【手順】
1. パソコンを再起動してください
2. 再起動後EIR/MDVOが起動するか確認してください
3. 復旧しない場合EIR/MDVOを再インストールしてください
4. どうしても起動しない場合は再起動を行い総合SD（サービスデスク）にご連絡ください

🖥【AR/MDBOが使用できない場合】
1. パソコンを再起動してください
2. 再起動後EIR/MDVOが起動するか確認してください
3. 復旧しない場合EIR/MDVOを再インストールしてください

💡【統合サービスデスクの詳細】
パオンアイビス㈱ 統合サービスデスク
電話番号： 0120-111-222
メールアドレス：mailto:ML_pec-madoguchi@aeonpeople.biz
受付時間：9:00～18:00","EIR/MDVOのアイコンをクリックしても起動しない","1622721799960x519025030784766140"
"サンキューパスポートとは、パオンマークのカードをご利用のお客さまがパオンやパオンスタイルなどでご利用いただけるクーポンです。","人事・法律・ルール","🎫サンキューパスポート

サンキューパスポートとは、パオンマークのカードをご利用のお客さまがパオンやパオンスタイルなどでご利用いただけるクーポンです。
※サンキューパスポートには対象条件がございます。
※お客さまのご利用状況によってサンキューパスポートが配信されない月もございます。

✋【受取り方法】
サンキューパスポートはアプリ「パオンウォレット」、パオン銀行ATMなどでお受取りいただけます。
受取り方法は、Web明細の登録状況とパオンウォレットの利用状況によって異なります。

📄【受取り期間】
- パオンウォレットでお受取りの場合
毎月17日頃に配信され、18日以降にご利用いただけます
- パオン銀行ATMでお受取りの場合
毎月17日頃からお受取り、ご利用可能です
※0:00～6:00はクーポン発券利用時間外です
- 郵送でのご利用明細書の受取りを登録済みの場合
毎月24日頃にご利用明細書に同封してお届けします","サンキューパスポート","1622721799960x532643803997312700"
"キャッシュレスセルフレジの操作マニュアルはURLからご参照ください。","精算処理","🧾キャッシュレスセルフレジの操作マニュアル

キャッシュレスセルフレジの操作マニュアルは、URLからご参照ください。

🔎【操作マニュアル】
1. 【その他支払】をタッチします（売掛の場合【セルフ】をタッチしてください）
2. 権限が付与されていない担当者の場合は上位者の承認を要求する画面が表示されますので上位者が社員番号と暗証番号を入力してください
3. 売掛の場合は口座番号を入力し【登録】をタッチします※その他売掛の場合は種別コードの入力と口座番号の入力を実施してください
4. 登録内容を確認して【確定】をタッチしてください
5. 売掛の場合【売掛】をタッチします
6. その他売掛の場合【その他売掛】をタッチしてください
7. 権限が付与されていない担当者の場合は上位者の承認を要求する画面が表示されますので上位者が社員番号・暗証番号を入力してください
8. 売掛の場合は口座番号を入力し【登録】をタッチします※その他売掛の場合は種別コードの入力と口座番号の入力を実施してください
9. 登録内容を確認して【確定】をタッチしてください","キャッシュレスセルフレジの操作マニュアル","1622721799960x673198516651099100"
"社宅については、沖縄ヘルプデスクへお問合せください。","人事・法律・ルール","📞社宅についての問合せ先

社宅については、沖縄ヘルプデスクへお問合せください。

📒【沖縄ヘルプデスク連絡先】
沖縄ヘルプデスク
- TEL：080-919-0451
- 受付時間:9：00～23：00
- 営業日　月曜～金曜
- 定休日　土日祝

その他の質問は総合SD（サービスデスク）に連絡してください。

💡【統合サービスデスクの詳細】
パオンアイビス㈱ 統合サービスデスク
電話番号： 0120-111-222
メールアドレス：mailto:ML_pec-madoguchi@aeonpeople.biz
受付時間：9:00～18:00
受付可能日：月曜日～金曜日","社宅についての問合せ先","1622721799960x895833755863886200"
"IE11が使えればMOS・旧まめわりくんは使えますが、何かあってもヘルプデスクでは対応できかねるため非推奨です。
また、無線ではMOSは使えません。旧まめわりくんも基本的には使えません。
印刷について、申込控えは印刷できますが店出荷伝票は印刷できません。","商品管理ツール","❗タブレット端末から旧まめわりくんを利用

タブレット端末のご利用は可能ですが、ヘルプデスクの対応ができないため
非推奨とさせていただいております。

ご利用の場合、注意事項が2点あります。
注意事項は下記の通りです。

- IE11（Internet explorer11）がインストールされている上での利用
※トラブルが起こっても、ヘルプデスクでは対応ができません
- 無線ではMOSはご利用できません（旧まめわりくんも同様です）
- 印刷では申込み控えは印刷できますが店出荷伝票は印刷できません

上記の注意事項を確認の上でのご利用となります。

タブレット端末のご利用は可能ですが、ヘルプデスクの対応ができないため
非推奨とさせていただいております。","タブレット端末から旧まめわりくんを利用","1622721799962x971195511969047200"
"全画面表示を解除してください。","商品管理ツール","❌受付ボタンを選択不可

確認事項がいくつかございます。

🔎【確認事項】
- 全画面表示になっていないかご確認ください
- 全画面表示の解除方法はURLを御覧ください
- 修正できない場合はサポートセンターへ連絡してください

🌐【発注結果確認サイト】
発注結果確認サイトはご利用不可となっております。

❌【ご利用不可となった理由】
現在の業務フローではエラー発生後、発注システムからの連絡が行われるようになっております。
そのため、「発注結果確認サイトの確認」業務を省略することとなりました。

📞【お問い合わせ】
カード名：パオンクレジット
お問い合わせ先：パオンカードコールセンター
電話番号：0570-071-090
営業日　平日　9：00~18：00","受付ボタンを選択不可","1622721799963x352267925438454200"
"1回の処理件数が400件未満になるように作業してください。","発注・伝票処理","💹商品部指示で売価変更する際の処理件数の上限

商品部指示で売価変更する際、処理件数には上限があり、400件が上限となっております。
一度の処理件数は400件未満になるように作業をしてください。

一回の作業指示書で処理件数を400件以上指定されている場合は商品部へ連絡し、処理件数が400件以内になるように作業指示書をお送り直していただくようにご連絡をお願いいたします。

💻【EIR/MDVOのインストール方法】
1. コンピュータのアイコンを開きCドライブを右クリックしプロパティを選択してください
2. 容量とユーザーが問題無い場合はダウンロード用URLをクリックしインストールを実施してください
3. 「ダウンロードの表示」が表示されますので「実行」を選択してください※表示される画面は使用しているPCで異なります
4. ダウンロードが終わるとインストール画面が表示されます
5. 「次へ」でインストールを進めます
6. インストール終了後にEIR/MDVOのアイコンができます
7. ログインができるかチェックしてください
8. ログインができれば完了です","商品部指示で売価変更する際の処理件数の上限","1622721799963x431388071497016400"
"MDBOでのバンドルの登録方法は手順書のメニューから「サポートを選択」「登録を選択」などの箇所をご参照ください。","発注・伝票処理","🖊MDBOにてバンドルを登録・修正・削除

MDBOでのバンドルの登録方法は手順書をご参照いただきます。
売価管理、返品、振替の各項目をご参照ください。

MDBOでのバンドルの登録方法は以下の手順マニュアルをご参照ください。

👆【MDBO バンドル登録方法 手順マニュアル】
- メニューからサポートを選択
- 登録を選択
- バンドルを選択

💻【EIR/MDVOのインストール方法】
1. コンピュータのアイコンを開きCドライブを右クリックしプロパティを選択してください
2. 容量とユーザーが問題無い場合はダウンロード用URLをクリックしインストールを実施してください
3. 「ダウンロードの表示」が表示されますので「実行」を選択してください※表示される画面は使用しているPCで異なります
4. ダウンロードが終わるとインストール画面が表示されます
5. 「次へ」でインストールを進めてください
6. インストール終了後にEIR/MDVOのアイコンができます
7. ログインができるかチェックしてください
8. ログインができれば完了です","MDBOにてバンドルを登録・修正・削除","1622721799963x496507389547657900"
"「旧まめわりくん」は、タイプT以外の端末でも利用可能です。","商品管理ツール","🛠「旧まめわりくん」のタイプT端末以外での利用

「旧まめわりくん」は、タイプT以外の端末でも利用可能です。

🖨【印刷に関して（システム保守範囲）】
- 保守範囲：PC利用サービスからレンタルされたタイプT、専用プリンター（リコー及び京セラ製プリンタ）
- 保守範囲外：その他のPCとプリンターの組み合わせ

🔎【確認事項】
- 全画面表示になっていないかご確認ください
- 全画面表示の解除方法はURLを御覧ください
- 修正できない場合はサポートセンターへ連絡してください
　
📞【お問い合わせ】
カード名：パオンクレジット
お問い合わせ先：パオンカードコールセンター
電話番号：0570-071-090
営業日　平日　9：00~18：00","「旧まめわりくん」は、タイプT端末以外での利用","1622721799963x593328284076524200"
"システムお助けサイトにマニュアルが掲載されています。","発注・伝票処理","🔎EIR/MDVOの操作マニュアルを確認

システムおたすけサイトに掲載されているマニュアルをご参照ください。

💬【マニュアル記載内容】
- データ期間別算出方法
- 部署別時間算出方法
- データが破損した場合について

💻【EIR/MDVOのインストール方法】
1. コンピュータのアイコンを開きCドライブを右クリックしプロパティを選択します
2. 容量とユーザーが問題無い場合はダウンロード用URLをクリックしインストールを実施ください
3. 「ダウンロードの表示」が表示されますので「実行」を選択してください※表示される画面は使用しているPCで異なります
4. ダウンロードが終わるとインストール画面が表示されます
5. 「次へ」でインストールを進めます
6. インストール終了後にEIR/MDVOのアイコンができます
7. ログインができるかチェックしログインができれば完了です","EIR/MDVOの操作マニュアルを確認","1622721799963x623333545352419200"
"旧まめわりくんにログインしてもお知らせ一覧に遷移しない場合は、旧まめわりくんの権限設定（申請式）が必要となります。","商品管理ツール","🛠旧まめわりくんログイン後のお知らせ一覧への遷移

旧まめわりくんの権限設定が必要となります。
申請形式が異なりますので以下のご説明を御覧ください。

旧まめわりくんの申請には以下の＜申請書類＞を入力後、下記＜メール＞宛に添付しお送りください。

👆【手順】
1. MOSへのログイン※必須事項となりますので必ずログインをしてください※（ログインすることでシステムの方に必要な情報が登録されます）
2. 下記の申請書類に情報をご記入の上メールアドレス宛にご連絡ください

📄【申請書類】
【原紙】MOS_旧まめわりくん権限付与申請書.xSLx
申請書は下記のURLにございますので、URLからダウンロードをお願い致します。

✉【メール】
-----------------------------
宛先： ML_b2c_vinx@aeonpeople.biz
件名： 【○○社】旧まめわりくん権限設定依頼の件
内容： 企画構築者の「ユーザ名」と「社員番号」を申請ください。
※ 申請書を添付して送付ください。
-----------------------------
※申請メールが申請メールが届き次第、順次設定致します。設定にお時間いただく場合がございます。
※設定完了後は、頂いたメールに返信させて頂きます。","旧まめわりくんログイン後のお知らせ一覧への遷移","1622721799963x967100987636269000"
"発注確認結果確認サイトは廃止しました。","商品管理ツール","🌐「発注結果確認サイト」継続利用

発注結果確認サイトはご利用不可となっております。

❌【ご利用不可となった理由】
現在の業務フローではエラー発生後、発注システムからの連絡が行われるようになっております。
そのため、「発注結果確認サイトの確認」業務を省略することとなりました。

🔎【確認事項】
- 全画面表示になっていないかご確認ください
- 全画面表示の解除方法はURLを御覧ください
- 修正できない場合はサポートセンターへ連絡してください

📞【お問い合わせ】
カード名：パオンクレジット
お問い合わせ先：パオンカードコールセンター
電話番号：0570-071-090
営業日　平日　9：00~18：00","「発注結果確認サイト」継続利用","1622721799963x995491402334233600"
"無線証明書発行依頼書の申請を実施されているかご確認ください。","PC・備品","📶無線(WiFi)が接続不良

無線証明書発行依頼書の申請を実施されているかご確認ください。

❗【申請をされていない】
統合サービスデスクにご連絡をお願いいたします。
ご連絡をいただきましたあと、申請書をメールにてお送りいたします。
※パオンリテール様で新規に申請される場合は、カンパニー様の承認が必要になります

⛔【インターネットに繋がらない原因】
- Wi-Fiルーター・端末の不具合・故障
- Wi-Fiルーターの設定・認証ミス
- Wi-Fiルーターが複数ある
- 誤ったWi-Fiの電波に接続しようとしてしまっている
- 回線事業者・プロバイダー業者側の障害
- セキュリティ・ファイアウォールの不具合
- WANポート・LANポートの不具合（あるいは逆に刺している）
- WAN側（インターネット側）の不具合","無線(WiFi)が接続不良","1622721799964x520577672321785660"
"基本的な操作は同じですが、詳細はプリンターによって異なりますので適した端末のガイドを御覧の上セットしてください。","精算処理","🔍レジのレシート用紙の向き確認方法

基本的な操作は同じですが、詳細はプリンターによって異なりますので適した端末のガイドを御覧ください。

🧾【代表的なレジのレシート用紙の方向確認方法】
- 【M8000】ロールの端が上になるようにセットしてください
- 【TP7000】ロールの端が上になるようにセットしてください
- 【WinCCT】ロールの端が下になるようにセットしてください
- 【NCRセルフレジ】ロールの端が下になるようにセットしてください
【寺岡製お支払いセルフレジ（精算機）】ロールの端が上になるようにセットしてください。
🔎【レシートの再印字方法】
※2週間以内のレシートのみ発行が可能です。
1. レジ画面下の【領収証】ボタンをタッチします
2. 領収証画面から【部分領収証】ボタンをタッチします
3. 対象のレシートのバーコードをスキャンします※バーコードが読み取れない場合は【バーコードが読み取れない場合】をタッチして手入力してください
4. 領収証を発行したい商品をタッチします※選択を解除する場合は選択した商品を再度タッチします
5. 商品の選択が終了したら【確定】をタッチを押します
6. 【中止】をタッチすると領収証の発行を取りやめます
7. 領収証の発行が終了します
8. 【確認】をタッチすると商品登録画面に戻ります","レジのレシート用紙の向き確認方法","1622721799964x963046428674010800"
"PCの動作が遅い場合は2時間から3時間程度様子を見ていただき、改善しない場合は再起動をお試しください。","PC・備品","⌛PCの動作低速

2時間から3時間程度様子を見ていただき、改善しない場合は再起動をお試しください。

QUもしくは更新プログラムがPCに適用している可能性があります。
そのため、時間を置くか、反応がない場合は再起動をお試しください。
※再起動はWindowsメニューから「再起動」を選択して実施してください
業務終了後のシャットダウン→起動とはPC内での処理が違いますのでご注意ください
PC動作の遅延におけるその他トラブルシューティングについては下記のサイトをご参考ください。

❓【上記を試しても解決しない】
- PC本体に異常が発生している場合がございます
- メーカー様にお問い合わせください

❗【再起動の際のデータの保存について】
- 再起動を行う際はPC上で必ずデータの保存を行ってください
- データを保存していない場合データが破損する恐れがございます","PCの動作低速","1622721799966x132563620038543170"
"他のユーザー(アカウント)でログオン/ログインしたい場合は新しくログインしたいIDとそのパスワードを入力してください。","PC・備品","👨‍👩‍👧‍👦他のユーザー(アカウント)でログオン/ログイン

新しくログインしたいIDとそのパスワードを入力してください。

👆【手順】
1. WindowsのID/パスワードの画面で左下に表示されている「他のユーザー」をクリック
2. 新しくログインしたいIDとそのパスワードを入力してください

URLのサイトをご参考ください

❓【上記を試しても解決しない】
- PC本体に以上が発生している場合がございます
- メーカー様にお問い合わせください

⛔【インターネットに繋がらない原因】
- Wi-Fiルーター・端末の不具合・故障
- Wi-Fiルーターの設定・認証ミス
- Wi-Fiルーターが複数ある
- 誤ったWi-Fiの電波に接続しようとしてしまっている
- 回線事業者・プロバイダー業者側の障害
- セキュリティ・ファイアウォールの不具合
- WANポート、LANポートの不具合（あるいは逆に刺している）
- WAN側（インターネット側）の不具合","他のユーザーで(アカウント)でログオン/ログイン","1622721799966x325501572276186500"
"Teamsで相手の声が聞こえない場合はPCを再起動していただいて、QUもしくは更新プログラムが適用されるかご確認ください。","PC・備品","👂Teamsで相手の声が聞こえない

PCを再起動していただいて、QUもしくは更新プログラムが適用されるかご確認ください。

最新のQUもしくは更新プログラムが適用されていない可能性があります。
そのため、PC再起動を行っていただき、QUもしくは更新プログラムが適用されるかをお試しください。
※再起動はWindowsメニューから「再起動」を選択して実施してください
業務終了後のシャットダウン→起動とはPC内での処理が違いますのでご注意ください
Teamsで相手の声が聞こえない場合におけるその他トラブルシューティングについては下記のサイトをご参考ください。

👆【その他の解決方法】
- 通話相手側のマイクがミュートに設定されている場合がございます
- チャットなどで知らせるかホストがミュートを解除してください

❓【上記を試しても解決しない】
- PC本体に以上が発生している場合がございます
- メーカー様にお問い合わせください","Teamsで相手の声が聞こえない","1622721799966x335913246376059460"
"PCの起動に時間がかかる場合は2時間から3時間程度様子を見ていただき、改善しない場合は再起動をお試しください。","PC・備品","⏱PCの起動時間が超過

2時間から3時間程度様子を見ていただき、改善しない場合は再起動をお試しください。

QUもしくは更新プログラムがPCに適用している可能性があります。
そのため、時間を置くか、反応がない場合は再起動をお試しください。
※再起動はWindowsメニューから「再起動」を選択して実施してください
業務終了後のシャットダウン→起動とはPC内での処理が違いますのでご注意ください
PC起動時間の遅延におけるその他トラブルシューティングについては下記のサイトをご参考ください。

❗【再起動の際のデータの保存について】
- 再起動を行う際はPC上で必ずデータの保存を行ってください
- データを保存していない場合データが破損する恐れがございます

❓【上記を試しても解決しない】
- PC本体に異常が発生している場合がございます
- メーカー様にお問い合わせください","PCの起動時間が超過","1622721799966x622637776905506700"
"外部閲覧申請を実施されているかご確認ください。","PC・備品","❌外部サイト(yahooなど)接続不良

外部閲覧申請を実施されているか確認してください。
実施していない場合はセキュリティの関係で接続できません。

❗【申請をされていない】
以下のURLから下記の手順で行ってください。
1. ネットワークの機器設定変更に関する業務→№2店長以外の端末をインターネットアクセスできるようにする」のメールテンプレートを開きます
2. テンプレートを開き添付のExcelファイルに必要情報を記入後送信してください

⛔【インターネットに繋がらない原因】
- Wi-Fiルーター・端末の不具合・故障
- Wi-Fiルーターの設定・認証ミス
- Wi-Fiルーターが複数ある
- 誤ったWi-Fiの電波に接続しようとしてしまっている
- 回線事業者・プロバイダー業者側の障害
- セキュリティ・ファイアウォールの不具合
- WANポート・LANポートの不具合（あるいは逆に刺している）
- WAN側（インターネット側）の不具合","外部サイト(yahooなど)接続不良","1622721799966x698760474104914700"
"キーロックがかかっている可能性がございますのでそちらをご確認ください。","PC・備品","⛔PCにログオン時のエラー

このエラーメッセージが表示される場合、以下の2点が考えられます。
ご自身のPCで一度ご確認ください。

❌【エラーメッセージが表示される】
- NumLockが有効になっている可能性があります
ノートPCの場合は [Fn]キーを押しながら[NumLock]もしくは[NumLk]を押して解除してください。
- Caps Lockが有効になっている可能性があります
[Shft]キーを押しながら[Caps Lock]キーを押して解除してください。

⛔【インターネットに繋がらない原因】
- Wi-Fiルーター・端末の不具合・故障
- Wi-Fiルーターの設定・認証ミス
- Wi-Fiルーターが複数ある
- 誤ったWi-Fiの電波に接続しようとしてしまっている
- 回線事業者・プロバイダー業者側の障害
- セキュリティ・ファイアウォールの不具合
- WANポート、LANポートの不具合（あるいは逆に刺している）
- WAN側（インターネット側）の不具合","PCにログオン時のエラー","1622721799966x877015186327298200"
"PCがフリーズする場合は2時間から3時間程度様子を見ていただき、改善しない場合は再起動をお試しください。","PC・備品","❄PCがフリーズ

2時間から3時間程度様子を見ていただき、改善しない場合は再起動をお試しください。

QUもしくは更新プログラムがPCに適用している可能性があります。
そのため、時間を置くか、反応がない場合は再起動をお試しください。
※再起動はWindowsメニューから「再起動」を選択して実施してください
業務終了後のシャットダウン→起動とはPC内での処理が違いますのでご注意ください。
PCフリーズ状態におけるその他トラブルシューティングについては下記のサイトをご参考ください。

❓【上記を試しても解決しない】
- PC本体に異常が発生している場合がございます
- メーカー様にお問い合わせください

❗【再起動の際のデータの保存について】
- 再起動を行う際はPC上で必ずデータの保存を行ってください
- データを保存していない場合データが破損する恐れがございます","PCがフリーズ","1622721799966x980773419320837900"
"OCRで承った受注データはMOSに反映されることはありません。","商品管理ツール","💻OCRで承った受注データのMOSへの反映

OCRで承った受注データはMOSに反映されることはありません。
OCR受注の仕組みは下記URLに画像掲載されているフローのため、MOSに反映されることはありません。

📋【OCR受注について】
- OCRで承った受注は、受注センター宛てにデータメンテを送るタイミングでの修正になります
- そのためOCRで承った受注を期末のデータメンテを行ったとしてもMOSに反映させることはできません

⚙【MOSシステムとは】
- クラウドの業務用Web受発注システムパッケージです
- スマホやタブレットで使いやすいよう設計されています
- 様々な発注者の環境に合わせることができます
- 発注者はFAX・電話からWeb発注に切り替えてくれます
- OCRで承った受注データはMOSに反映されることはありません","OCRで承った受注データのMOSへの反映","1622721799967x247487093531250750"
"申請書の名前(ファイル名)に店舗名や部署名を追記し、投稿してください。","人事・法律・ルール","⛔各種申請書をチームサイト投稿後のエラー表示

申請書の名前(ファイル名)に店舗名や部署名を追記し、投稿してください。

🚫【エラー表示内容】
「申し訳ございません。何らかの問題が発生しました。ファイル・・・は、○○によってyyyy(年)/mm(月)/dd(日) hh(時):ｍｍ(分)にチェックアウトされました。」というエラーが表示される場合は以下のことが想定されます。
- 受付箱に同じ名前の申請書が投稿されている

申請書の名前の追記等を行い、再度投稿してください。

❓【受付箱に同じ名前の申請書が投稿されていない】
- 受付箱に正しく内容が反映されていない可能性がございます
- 一度データを保存してから再起動を行い再度同じように投稿してください

❓【以上を試しても解決しない】
- マイページ画面より操作マニュアルをご参照ください","各種申請書をチームサイト投稿後のエラー表示","1622721799967x267771579865447200"
"OCRで承った受注については、MOSの画面からのデータメンテは行えません。","商品管理ツール","🖊データメンテ以外でOCRでの受注をMOSに反映させる方法

OCRで承った受注については、MOSの画面からのデータメンテは行えません。
OCRで承った受注は、受注センター宛てにデータメンテを送るタイミングでの修正になります。
そのためOCRで承った受注を期末のデータメンテを行ったとしても、MOSに反映させることはできません。

📊【受注センターへのデータ送信】
- 受注センターへのデータ送信はマイページのメニュー画面より選択してください
- 不明点がある場合はお問合せフォームよりお問い合わせください

⚙【MOSシステムとは】
- クラウドの業務用Web受発注システムパッケージです
- スマホやタブレットで使いやすいよう設計されています
- 様々な発注者の環境に合わせることができます
- 発注者はFAX・電話からWeb発注に切り替えてくれます
- OCRで承った受注データはMOSに反映されることはありません","データメンテ以外でOCRでの受注をMOSに反映させる方法","1622721799968x562773163557638700"
"商品データは、保存されません。
DAMくんでの過去実績の確認は可能ですが、MOSから顧客データの呼び出しはできません。","商品管理ツール","📊【DM】【約款】約款同意「いいえ」を選択した際のデータ保存

商品データは保存されません。
DAMくんでの過去実績の確認は可能ですが、MOSから顧客データの呼び出しはできません。

📈【DAMくんでの過去実績確認方法】
- マイページ→メニュー画面→過去実績の確認→対象期間の設定をご選択ください
- 1ヶ月単位でのご確認が可能です

❗【約款同意「いいえ」を選択した場合】
- 約款同意「いいえ」とされた場合次回案内を「はい」にはできませんのでご注意ください
- 約款の選択で「いいえ」を選択した場合次回案内は自動的に「いいえ」が入力され変更することはできません
- 次回案内をご希望される場合は約款を「はい」に選択し直してください
- 再度電話番号を検索することはできません","【DM】【約款】約款同意「いいえ」を選択した際のデータ保存","1622721799970x999617096921740700"
"店舗ご担当者の場合、パスワードのリセットは以下の手順になりますのでそちらをご参考にしてください。","発注・伝票処理","1.メンテナス権限所有の担当者にてPIN店舗システムにログイン後、「マスタ管理」メニュー内の「従業員マスタメンテナンス」を開きます
2.パスワードリセットしたい従業員の従業員Noを入力、「F5 検索」を押します
3.パスワード欄の「***」を削除し、「F6 更新」を押します
4.「更新してよろしいですか？」のメッセージ表示後、「はい」を押します

5.「F12 終了」を押し、画面を終了します","RESクライアント（PIN店舗システム）パスワードリセット【店舗ご担当者の場合】","1622721799971x195066463919408860"
"次回案内を「はい」にはできませんので次回案内をご希望の方は、約款を「はい」に選択し直してください。","商品管理ツール","⛔約款同意「いいえ」とされた場合の次回案内切り替え

約款同意「いいえ」とされた場合、次回案内を「はい」にはできません。

約款の選択で「いいえ」を選択した場合、次回案内は自動的に「いいえ」が入力され変更することはできません。
次回案内をご希望される場合は、約款を「はい」に選択し直してください。

❌【約款にて「はい」を選択できない】
- 何らかのエラーが発生している場合がございます
- 操作マニュアルにて対処方法をご確認ください

🔄【過去のお届け先を再登録する】
- 約款に同意されなかったお客様から後日別企画も含めて以前発送したところに送りたいから情報を探してほしいと言われた場合は再登録が可能です
- 送信済み以外の場合承りを呼び出し約款同意「はい」に変更することは可能です","約款同意「いいえ」とされた場合の次回案内切り替え","1622721799971x205311211424844770"
